categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,Titulo_proyecto,año
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Innovación de proceso o procedimiento,PLATAFORMA DE PSICOLOGÍA TEST DE ESTILOS DE APRENDIZAJE DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Innovación de proceso o procedimiento,PLATAFORMA PARA LA REMISIÓN DE ESTUDIANTES AL CENTRO DE APOYO UNIVERSITARIO DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Innovación de proceso o procedimiento,PLATAFORMA DEL CONSULTORIO EMPRESARIAL EN LOGÍSTICA DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Innovación de proceso o procedimiento,PROTOTIPO DE UN SISTEMA DE ALERTA TEMPRANA DE DESERCIÓN DESDE EL PROCESO DE ADMISIÓN DE ASPIRANTES DE LA FACULTAD DE INGENIERÍA EN LA UNAC,2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Innovación de proceso o procedimiento,PLATAFORMA WEB PARA EL ANÁLISIS PREDICTIVO DE LA DESERCIÓN ESTUDIANTIL EN UNA INSTITUCIÓN DE EDUCACIÓN SUPERIOR EN AMÉRICA LATINA,2024
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Investigación y desarrollo,Modelo de desercion y alertas tempranas,2022
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Investigación y desarrollo,Camino hacia una universidad sostenible,2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Investigación y desarrollo,Analisis de un modelo explicativo para determinar las causas de los factores de la desercion temprana estudiantil en una institucion sudamericana de estudios superiores,2024
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Investigación y desarrollo,Mejoramiento en el analisis; exportacion y diseminacion de ionogramas digitales a un repositorio de datos cientificos abiertos desde la sonda IPS-42,2019
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajo dirigido de grado de pregrado,Diseño de un marco de trabajo para medir la sostenibilidad. Caso de estudio en cinco PYMES antioqueñas de la ciudad de Medellín. Corporación Universitaria Adventista,2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajo dirigido de grado de pregrado,Un Marco de Trabajo para Evaluar y Reportar la Sostenibilidad en Instituciones de Educación Superior Corporación Universitaria Adventista,2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajo dirigido de grado de pregrado,Propuesta De Creación Del Consultorio Logístico De La Corporación Universitaria Adventista UNAC Corporación Universitaria Adventista,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajo dirigido de grado de pregrado,Estandarización de procedimientos administrativos en la dirección de Sostenibilidad de la Corporación Universitaria Adventista. Corporación Universitaria Adventista,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajo dirigido de grado de pregrado,Plan de mejora para el proceso de la granola Vainilla Vitarrico x 1000 gr aplicando herramientas de Ingeniería de Métodos. Corporación Universitaria Adventista,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajo dirigido de grado de pregrado,Documentación del Programa de Aprovechamiento de Residuos Sólidos en la Industria de Alimentos Vitarrico Corporación Universitaria Adventista,2023
